temperature,city,pression,date
302.17,Recife,1011,2025-02-12 20:30
307.2,El Salvador,1007,2025-02-12 20:30
301.27,Natal,1010,2025-02-12 20:30
302.17,Recife,1011,2025-02-12 20:29
307.2,El Salvador,1007,2025-02-12 20:29
301.27,Natal,1010,2025-02-12 20:29
302.17,Recife,1011,2025-02-12 20:28
307.2,El Salvador,1007,2025-02-12 20:28
301.27,Natal,1010,2025-02-12 20:28
302.17,Recife,1011,2025-02-12 20:25
307.2,El Salvador,1007,2025-02-12 20:25
301.27,Natal,1010,2025-02-12 20:25
302.17,Recife,1011,2025-02-12 20:16
307.2,El Salvador,1007,2025-02-12 20:16
301.27,Natal,1010,2025-02-12 20:16
302.17,Recife,1013,2025-02-12 12:49
293.41,El Salvador,1012,2025-02-12 12:49
301.27,Natal,1012,2025-02-12 12:49
301.17,Recife,1013,2025-02-12 11:02
292.53,El Salvador,1011,2025-02-12 11:02
298.27,Natal,1012,2025-02-12 11:02
301.17,Recife,1013,2025-02-12 10:31
292.53,El Salvador,1011,2025-02-12 10:31
298.27,Natal,1012,2025-02-12 10:31
300.17,Recife,1011,2025-02-11 22:01
303.17,El Salvador,1007,2025-02-11 22:01
301.27,Natal,1011,2025-02-11 22:01
300.17,Recife,1011,2025-02-11 21:25
303.17,El Salvador,1007,2025-02-11 21:25
301.27,Natal,1010,2025-02-11 21:25
300.17,Recife,1011,2025-02-11 21:17
303.17,El Salvador,1007,2025-02-11 21:17
301.27,Natal,1010,2025-02-11 21:17
302.17,Recife,1011,2025-02-11 20:44
302.17,El Salvador,1007,2025-02-11 20:44
302.27,Natal,1010,2025-02-11 20:44
302.17,Recife,1010,2025-02-11 20:27
302.17,El Salvador,1008,2025-02-11 20:27
302.27,Natal,1010,2025-02-11 20:27
302.17,Recife,1010,2025-02-11 20:14
302.17,El Salvador,1008,2025-02-11 20:14
302.27,Natal,1009,2025-02-11 20:14
302.17,Recife,1010,2025-02-11 19:50
303.17,El Salvador,1008,2025-02-11 19:50
303.27,Natal,1009,2025-02-11 19:50
